home_team,team_profile,titles,is_champion
Algeria,Emerging Teams,0.0,0
Angola,Emerging Teams,0.0,0
Argentina,Elite Champions,3.0,1
Australia,Emerging Teams,0.0,0
Austria,Competitive Nations,0.0,0
Belgium,Competitive Nations,0.0,0
Bolivia,Defensive/Volatile Teams,0.0,0
Bosnia and Herzegovina,Emerging Teams,0.0,0
Brazil,Elite Champions,5.0,1
Bulgaria,Emerging Teams,0.0,0
Cameroon,Emerging Teams,0.0,0
Canada,Emerging Teams,0.0,0
Chile,Emerging Teams,0.0,0
China PR,Defensive/Volatile Teams,0.0,0
Colombia,Competitive Nations,0.0,0
Costa Rica,Emerging Teams,0.0,0
Croatia,Competitive Nations,0.0,0
Cuba,Defensive/Volatile Teams,0.0,0
Czech Republic,Competitive Nations,0.0,0
Côte d'Ivoire,Emerging Teams,0.0,0
Denmark,Emerging Teams,0.0,0
Dutch East Indies,Defensive/Volatile Teams,0.0,0
Ecuador,Emerging Teams,0.0,0
Egypt,Emerging Teams,0.0,0
El Salvador,Defensive/Volatile Teams,0.0,0
England,Competitive Nations,1.0,1
FR Yugoslavia,Emerging Teams,0.0,0
France,Elite Champions,2.0,1
Germany,Elite Champions,4.0,2
Germany DR,Emerging Teams,0.0,0
Ghana,Emerging Teams,0.0,0
Greece,Emerging Teams,0.0,0
Haiti,Defensive/Volatile Teams,0.0,0
Honduras,Emerging Teams,0.0,0
Hungary,Competitive Nations,0.0,0
IR Iran,Emerging Teams,0.0,0
Iceland,Emerging Teams,0.0,0
Iraq,Emerging Teams,0.0,0
Israel,Emerging Teams,0.0,0
Italy,Elite Champions,4.0,1
Jamaica,Defensive/Volatile Teams,0.0,0
Japan,Emerging Teams,0.0,0
Korea DPR,Defensive/Volatile Teams,0.0,0
Korea Republic,Emerging Teams,0.0,0
Kuwait,Emerging Teams,0.0,0
Mexico,Emerging Teams,0.0,0
Morocco,Emerging Teams,0.0,0
Netherlands,Competitive Nations,0.0,0
New Zealand,Emerging Teams,0.0,0
Nigeria,Emerging Teams,0.0,0
Northern Ireland,Emerging Teams,0.0,0
Norway,Emerging Teams,0.0,0
Panama,Defensive/Volatile Teams,0.0,0
Paraguay,Emerging Teams,0.0,0
Peru,Emerging Teams,0.0,0
Poland,Emerging Teams,0.0,0
Portugal,Competitive Nations,0.0,0
Qatar,Emerging Teams,0.0,0
Republic of Ireland,Emerging Teams,0.0,0
Romania,Emerging Teams,0.0,0
Russia,Competitive Nations,0.0,0
Saudi Arabia,Emerging Teams,0.0,0
Scotland,Emerging Teams,0.0,0
Senegal,Competitive Nations,0.0,0
Serbia,Competitive Nations,0.0,0
Serbia and Montenegro,Defensive/Volatile Teams,0.0,0
Slovakia,Emerging Teams,0.0,0
Slovenia,Emerging Teams,0.0,0
South Africa,Emerging Teams,0.0,0
Spain,Competitive Nations,1.0,1
Sweden,Competitive Nations,0.0,0
Switzerland,Emerging Teams,0.0,0
Togo,Emerging Teams,0.0,0
Trinidad and Tobago,Emerging Teams,0.0,0
Tunisia,Emerging Teams,0.0,0
Türkiye,Competitive Nations,0.0,0
Ukraine,Competitive Nations,0.0,0
United Arab Emirates,Defensive/Volatile Teams,0.0,0
United States,Emerging Teams,0.0,0
Uruguay,Competitive Nations,2.0,1
Wales,Emerging Teams,0.0,0
Zaire,Defensive/Volatile Teams,0.0,0
