"year","ratio_perc","lag","dif","status","media_movel"
1930,50.00,,,→ Estável,50.0000000000000000
1934,0.00,50.00,-50.00,↓ Caiu,25.0000000000000000
1938,66.67,0.00,66.67,↑ Subiu,38.8900000000000000
1950,72.22,66.67,5.55,↑ Subiu,46.2966666666666667
1954,44.44,72.22,-27.78,↓ Caiu,61.1100000000000000
1958,88.89,44.44,44.45,↑ Subiu,68.5166666666666667
1962,88.89,88.89,0.00,→ Estável,74.0733333333333333
1966,33.33,88.89,-55.56,↓ Caiu,70.3700000000000000
1970,100.00,33.33,66.67,↑ Subiu,74.0733333333333333
1974,52.38,100.00,-47.62,↓ Caiu,61.9033333333333333
1978,71.43,52.38,19.05,↑ Subiu,74.6033333333333333
1982,80.00,71.43,8.57,↑ Subiu,67.9366666666666667
1986,80.00,80.00,0.00,→ Estável,77.1433333333333333
1990,75.00,80.00,-5.00,↓ Caiu,78.3333333333333333
1994,90.48,75.00,15.48,↑ Subiu,81.8266666666666667
1998,71.43,90.48,-19.05,↓ Caiu,78.9700000000000000
2002,100.00,71.43,28.57,↑ Subiu,87.3033333333333333
2006,80.00,100.00,-20.00,↓ Caiu,83.8100000000000000
2010,66.67,80.00,-13.33,↓ Caiu,82.2233333333333333
2014,61.90,66.67,-4.77,↓ Caiu,69.5233333333333333
2018,66.67,61.90,4.77,↑ Subiu,65.0800000000000000
2022,60.00,66.67,-6.67,↓ Caiu,62.8566666666666667
