"team","year","jogos","vitorias_selecoes","media_vitorias_campeao","dif_vitorias","dif_gols_marcados","dif_gols_sofridos","rank_perfil"
Argentina,2022,7,6,5.36,0.64,0.55,3.27,1
England,2022,5,3,5.36,2.36,1.45,0.73,2
France,2022,7,5,5.36,0.36,1.55,3.27,3
Portugal,2022,5,3,5.36,2.36,2.45,1.27,4
Netherlands,2022,5,3,5.36,2.36,4.45,0.73,5
Russia,2018,5,3,5.36,2.36,3.45,2.27,6
Croatia,2022,7,4,5.36,1.36,6.45,2.27,7
Morocco,2022,7,4,5.36,1.36,8.45,0.27,7
Brazil,2022,5,3,5.36,2.36,6.45,1.73,9
Spain,2022,4,1,5.36,4.36,5.45,1.73,10
Sweden,2018,5,3,5.36,2.36,8.45,0.73,10
Germany,2022,3,1,5.36,4.36,8.45,0.27,12
Colombia,2018,4,2,5.36,3.36,8.45,1.73,13
Japan,2022,4,2,5.36,3.36,9.45,0.73,13
Senegal,2022,4,2,5.36,3.36,9.45,2.27,15
Australia,2022,4,2,5.36,3.36,10.45,1.27,15
Cameroon,2022,3,1,5.36,4.36,10.45,0.73,17
Ghana,2022,3,1,5.36,4.36,9.45,2.27,18
Saudi Arabia,2022,3,1,5.36,4.36,11.45,0.27,18
Poland,2022,4,1,5.36,4.36,11.45,0.27,18
Nigeria,2018,3,1,5.36,4.36,11.45,0.73,21
United States,2022,4,1,5.36,4.36,11.45,0.73,21
Ecuador,2022,3,1,5.36,4.36,10.45,1.73,21
IR Iran,2022,3,1,5.36,4.36,10.45,2.27,24
Korea Republic,2022,4,1,5.36,4.36,9.45,3.27,24
Switzerland,2022,4,2,5.36,3.36,9.45,4.27,24
Serbia,2022,3,0,5.36,5.36,9.45,3.27,27
Iceland,2018,3,0,5.36,5.36,12.45,0.27,27
Mexico,2022,3,1,5.36,4.36,12.45,1.73,29
Egypt,2018,3,0,5.36,5.36,12.45,1.27,30
Peru,2018,3,1,5.36,4.36,12.45,2.73,31
Uruguay,2022,3,1,5.36,4.36,12.45,2.73,31
Canada,2022,3,0,5.36,5.36,12.45,2.27,33
Wales,2022,3,0,5.36,5.36,13.45,1.27,33
Belgium,2022,3,1,5.36,4.36,13.45,2.73,35
Denmark,2022,3,0,5.36,5.36,13.45,1.73,35
Qatar,2022,3,0,5.36,5.36,13.45,2.27,37
Tunisia,2022,3,1,5.36,4.36,13.45,3.73,38
Costa Rica,2022,3,1,5.36,4.36,11.45,6.27,39
Panama,2018,3,0,5.36,5.36,12.45,6.27,40
